"","x","y","label"
"105",354.41045325,304.995510054,"Layer6"
"106",474.842500602,365.166529228,"Layer3"
"107",275.112520726,131.86319086,"Layer1"
"108",313.411351928,407.110725092,"Layer6"
"109",261.386147616,315.076518502,"Layer6"
"110",409.270941188,434.788493822,"Layer3"
"111",411.11612577,175.96760282,"Layer3"
"112",163.546360268,131.053109824,"Layer1"
"113",209.765983822,169.126918516,"Layer1"
"114",413.321346368,300.000010332,"Layer4"
"115",251.485157176,395.904604094,"WM"
"116",330.423053684,196.939700752,"Layer4"
"117",330.243035676,218.541861712,"Layer5"
"118",402.205234374,127.36274066,"Layer3"
"119",278.082817858,148.06481158,"Layer2"
"120",181.59316557,206.660673184,"Layer3"
"121",209.04591179,266.20162933,"Layer5"
"122",187.938800352,185.148521228,"Layer2"
"123",278.172826862,137.2637311,"Layer1"
"124",203.465353542,179.882994494,"Layer2"
"125",142.66427134,443.654380716,"WM"
"126",291.494159454,433.933408284,"Layer6"
"127",209.991006332,136.768681578,"Layer1"
"128",420.837098202,116.741678188,"Layer2"
"129",335.823593924,304.860496548,"Layer6"
"130",209.135920794,255.40054885,"Layer4"
"131",363.771389666,299.639974316,"Layer6"
"132",214.851492548,320.162027228,"Layer6"
"133",372.997312576,305.13052356,"Layer5"
"134",461.97121303,429.7929941,"Layer3"
"135",245.04951339,428.21783653,"WM"
"136",404.410454972,251.395148172,"Layer4"
"137",350.405052572,428.982913064,"Layer5"
"138",338.253837032,396.534667122,"Layer6"
"139",456.165632272,375.832596202,"Layer3"
"140",195.229529676,460.216037452,"WM"
"141",350.090021058,472.09722598,"Layer5"
"142",426.732687964,159.900995606,"Layer3"
"143",232.763284344,417.326747046,"WM"
"144",335.2835399,380.333046402,"Layer6"
"145",351.350147114,299.549965312,"Layer6"
"146",375.292542178,418.361850592,"Layer5"
"147",303.015311966,126.642668628,"Layer1"
"148",274.167426184,261.25113411,"Layer5"
"149",462.781294066,321.917202806,"Layer3"
"150",395.049518556,256.75068391,"Layer5"
"151",490.5490718,338.298841534,"Layer2"
"152",243.339342314,239.468955142,"Layer4"
"153",267.866795904,272.007210088,"Layer5"
"154",189.108917404,449.36995247,"WM"
"155",410.576071746,251.440152674,"Layer4"
"156",204.725479598,433.303345256,"WM"
"157",376.552668234,245.814589924,"Layer5"
"158",409.901004216,348.514863488,"Layer5"
"159",250.45005363,110.126016394,"Layer1"
"160",271.422151562,212.691276452,"Layer4"
"161",221.287136334,287.848794792,"Layer5"
"162",437.713786452,354.095421736,"Layer3"
"163",202.385245494,330.828094202,"Layer6"
"164",272.817291124,444.599475258,"WM"
"165",156.39064445,260.396048572,"Layer3"
"166",447.074722868,348.7848905,"Layer3"
"167",208.280835256,374.032416122,"WM"
"168",238.478856098,482.088225424,"WM"
"169",372.367249548,391.404153894,"Layer5"
"170",387.668780228,418.451859596,"Layer4"
"171",448.064821912,208.59586677,"Layer3"
"172",230.063014224,358.01081341,"WM"
"173",315.346545514,137.533758112,"Layer2"
"174",340.774089144,477.407757216,"Layer5"
"175",218.091816692,304.00541101,"Layer5"
"176",242.259234266,390.459059352,"WM"
"177",346.30964289,137.758780622,"Layer3"
"178",184.473453698,233.663374384,"Layer3"
"179",238.568865102,471.287144944,"WM"
"180",267.011710366,390.63907736,"WM"
"181",391.134126882,369.93700644,"Layer5"
"182",469.756991876,214.131420516,"Layer2"
"183",300.900100372,417.821796568,"Layer6"
"184",256.345643392,153.285333812,"Layer1"
"185",462.376253548,375.877600704,"Layer3"
"186",438.433858484,257.065715424,"Layer3"
"187",193.29433609,303.825393002,"Layer5"
"188",197.56976378,136.678672574,"Layer1"
"189",428.082823024,402.56527039,"Layer3"
"190",271.647174072,180.378044016,"Layer3"
"191",206.750682188,152.925297796,"Layer1"
"192",369.801992934,321.242135276,"Layer5"
"193",478.127829248,338.20883253,"Layer2"
"194",312.10622137,153.69037433,"Layer3"
"195",381.098122936,472.32224849,"Layer3"
"196",174.077413736,389.96400983,"WM"
"197",466.381654226,251.845193192,"Layer3"
"198",156.030608434,314.311441968,"Layer5"
"199",410.351049236,283.798389612,"Layer4"
"200",171.0171076,384.518465088,"WM"
"201",417.64177856,132.898294406,"Layer3"
"202",217.59676717,368.676880384,"WM"
"203",366.516664288,348.199831974,"Layer5"
"204",271.242133554,234.293437412,"Layer5"
"205",190.999106488,190.549061468,"Layer2"
"206",413.81639589,235.328540958,"Layer4"
"207",438.523867488,246.264634944,"Layer3"
"208",308.370847704,245.319540402,"Layer5"
"209",426.372651948,213.816389002,"Layer3"
"210",174.932499274,271.332142558,"Layer3"
"211",234.24843291,212.42124944,"Layer3"
"212",151.845189748,459.901005938,"WM"
"213",208.010808244,406.39065306,"WM"
"214",223.087316414,465.7965957,"WM"
"215",279.882997938,326.012612488,"Layer6"
"216",328.75788711,423.402354816,"Layer6"
"217",139.693974208,427.452759996,"WM"
"218",150.900095206,163.321337758,"Layer1"
"219",319.75698671,385.598573136,"Layer6"
"220",407.605774614,235.283536456,"Layer4"
"221",151.935198752,449.099925458,"WM"
"222",303.690379496,466.381654226,"Layer6"
"223",359.450957474,466.786694744,"Layer5"
"224",319.846995714,374.842497158,"Layer6"
"225",381.953208474,353.690381218,"Layer5"
"226",440.099025058,456.57067279,"Layer3"
"227",151.800185246,470.657081916,"WM"
"228",408.010815132,181.323138558,"Layer3"
"229",333.70838233,170.027008556,"Layer3"
"230",173.582364214,454.635479204,"WM"
"231",368.226835364,110.93609743,"Layer2"
"232",424.61747637,451.080123546,"Layer3"
"233",378.667879828,380.648077916,"Layer5"
"234",385.103523614,348.33484548,"Layer5"
"235",445.409556294,149.279933134,"Layer1"
"236",348.379849982,283.348344592,"Layer6"
"237",218.631870716,228.487856654,"Layer3"
"238",205.89559665,271.557165068,"Layer5"
"239",357.020714366,375.11252417,"Layer5"
"240",240.054013668,266.42665184,"Layer5"
"241",393.744387998,440.054020556,"Layer3"
"242",360.306043012,348.154827472,"Layer6"
"243",186.858692304,336.138625438,"Layer6"
"244",224.257433466,304.050415512,"Layer5"
"245",318.541865156,121.377141894,"Layer1"
"246",220.342041792,417.236738042,"WM"
"247",425.112525892,386.36364967,"Layer3"
"248",379.522965366,262.016210644,"Layer5"
"249",299.099920292,239.87399566,"Layer5"
"250",403.69038294,348.469858986,"Layer5"
"251",324.302441412,186.138620272,"Layer3"
"252",173.762382222,433.078322746,"WM"
"253",150.99010421,152.520257278,"Layer1"
"254",280.513060966,239.738982154,"Layer5"
"255",246.62467096,212.511258444,"Layer3"
"256",176.64267035,460.081023946,"WM"
"257",258.7758865,244.959504386,"Layer5"
"258",468.901906338,332.763287788,"Layer3"
"259",345.319543846,277.947804352,"Layer6"
"260",346.264638388,148.559861102,"Layer3"
"261",345.454557352,256.390647894,"Layer6"
"262",465.12152817,424.39245386,"Layer3"
"263",178.532859434,201.260132944,"Layer2"
"264",273.222331642,390.684081862,"WM"
"265",480.558072356,429.928007606,"Layer2"
"266",198.874894338,390.144027838,"WM"
"267",302.88029846,148.244829588,"Layer3"
"268",305.850595592,164.446450308,"Layer3"
"269",431.008115654,429.56797159,"Layer3"
"270",374.032416122,164.94149983,"Layer3"
"271",394.059419512,396.93970764,"Layer5"
"272",245.364544904,385.058519112,"WM"
"273",168.09181497,357.56076839,"Layer6"
"274",152.11521676,427.542769,"WM"
"275",320.927103762,223.852392948,"Layer5"
"276",162.46625222,281.998209532,"Layer4"
"277",300.990109376,407.020716088,"Layer6"
"278",440.954110596,337.938805518,"Layer3"
"279",317.011712088,337.038715478,"Layer6"
"280",239.558964146,331.098121214,"Layer6"
"281",375.742587198,353.645376716,"Layer5"
"282",358.550867434,159.405946084,"Layer3"
"283",355.670579306,132.448249386,"Layer3"
"284",447.209736374,327.227734042,"Layer3"
"285",169.576963536,152.655270784,"Layer1"
"286",313.546365434,385.553568634,"Layer6"
"287",334.023413844,126.867691138,"Layer3"
"288",466.606676736,219.531960756,"Layer2"
"289",424.572471868,461.836199524,"Layer3"
"290",276.282637778,396.084622102,"WM"
"291",277.67777734,201.980204976,"Layer4"
"292",366.021614766,412.91630585,"Layer5"
"293",377.227735764,148.784883612,"Layer3"
"294",292.664276506,272.187228096,"Layer6"
"295",456.480663786,332.673278784,"Layer3"
"296",360.126025004,369.71198393,"Layer5"
"297",144.68947393,163.276333256,"Layer1"
"298",349.45995803,132.403244884,"Layer3"
"299",296.80469069,126.597664126,"Layer1"
"300",445.31954729,160.036009112,"Layer2"
"301",415.931607484,370.117024448,"Layer4"
"302",298.559866268,315.346545514,"Layer6"
"303",161.971202698,346.714683408,"Layer5"
"304",255.040512834,336.63367496,"Layer6"
"305",391.854198914,272.907300128,"Layer5"
"306",203.015308522,244.554463868,"Layer3"
"307",239.738982154,309.540964756,"Layer6"
"308",434.06842179,434.96851183,"Layer3"
"309",213.99640701,438.748889998,"WM"
"310",325.697580974,418.001814576,"Layer6"
"311",434.923507328,316.336644558,"Layer3"
"312",273.62737216,336.723683964,"Layer6"
"313",291.584168458,423.132327804,"Layer6"
"314",188.028809356,174.347440748,"Layer1"
"315",248.289837534,412.061220312,"WM"
"316",384.923505606,369.892001938,"Layer5"
"317",327.40775205,180.738080032,"Layer3"
"318",374.167429628,143.33933887,"Layer3"
"319",290.414051406,158.910896562,"Layer3"
"320",158.370842538,416.786693022,"WM"
"321",331.773188744,439.603975536,"Layer6"
"322",329.928004162,261.656174628,"Layer6"
"323",410.21603573,305.400550572,"Layer5"
"324",369.306943412,385.958609152,"Layer5"
"325",453.285344144,348.829895002,"Layer3"
"326",428.397854538,359.450957474,"Layer3"
"327",170.702076086,427.677782506,"WM"
"328",436.228637886,133.033307912,"Layer1"
"329",139.558960702,449.009916454,"WM"
"330",245.004508888,438.973912508,"WM"
"331",327.722783564,137.623767116,"Layer3"
"332",217.506758166,379.477960864,"WM"
"333",218.226830198,282.40325005,"Layer5"
"334",475.067523112,332.80829229,"Layer3"
"335",303.600370492,477.182734706,"Layer6"
"336",455.940609762,408.145828638,"Layer3"
"337",472.232239486,295.049515112,"Layer3"
"338",170.477053576,460.036019444,"WM"
"339",180.513057522,357.650777394,"Layer6"
"340",331.00811221,110.666070418,"Layer1"
"341",199.639970872,282.268236544,"Layer5"
"342",229.387946694,455.040519722,"WM"
"343",231.54816279,153.105315804,"Layer1"
"344",377.182731262,159.54095959,"Layer3"
"345",180.333039514,379.207933852,"Layer6"
"346",164.581463814,416.831697524,"WM"
"347",447.704785896,262.511260166,"Layer3"
"348",373.5373666,229.612969204,"Layer5"
"349",320.747085754,245.409549406,"Layer5"
"350",441.179133106,305.625573082,"Layer3"
"351",258.32584148,309.675978262,"Layer6"
"352",343.024314244,164.71647732,"Layer3"
"353",269.711980486,449.955010996,"WM"
"354",463.32134809,246.444652952,"Layer3"
"355",440.414056572,413.456359874,"Layer3"
"356",314.266437466,288.523862322,"Layer6"
"357",352.070219146,202.520259,"Layer4"
"358",346.399651894,126.957700142,"Layer3"
"359",344.869498826,342.664278228,"Layer6"
"360",307.425753162,374.752488154,"Layer6"
"361",220.97210482,330.963107708,"Layer6"
"362",317.326743602,293.924402562,"Layer6"
"363",435.283543344,262.421251162,"Layer3"
"364",165.256531344,319.801991212,"Layer5"
"365",377.407753772,127.182722652,"Layer3"
"366",209.585965814,190.684074974,"Layer3"
"367",356.525664844,439.783993544,"Layer5"
"368",460.486064464,208.685875774,"Layer3"
"369",369.081920902,418.31684609,"Layer5"
"370",310.396050294,390.954108874,"Layer6"
"371",294.869497104,396.219635608,"Layer6"
"372",363.18633114,375.157528672,"Layer5"
"373",222.367244382,136.858690582,"Layer1"
"374",158.235829032,438.34384948,"WM"
"375",202.160222984,363.18633114,"Layer6"
"376",153.825387836,190.279034456,"Layer1"
"377",330.648076194,164.626468316,"Layer3"
"378",332.853296792,288.658875828,"Layer6"
"379",425.51756641,332.448256274,"Layer3"
"380",318.63187416,110.576061414,"Layer1"
"381",321.062117268,202.29523649,"Layer4"
"382",368.13682636,121.73717791,"Layer3"
"383",338.748886554,331.818193246,"Layer6"
"384",245.859594426,320.387049738,"Layer6"
"385",293.519362044,153.555360824,"Layer3"
"386",475.382554626,289.693979374,"Layer2"
"387",260.531062078,433.708385774,"WM"
"388",418.361850592,461.791195022,"Layer3"
"389",336.678679462,186.228629276,"Layer3"
"390",429.883003104,154.545459868,"Layer2"
"391",176.732679354,449.279943466,"WM"
"392",252.565265224,244.914499884,"Layer5"
"393",297.70478073,433.978412786,"Layer6"
"394",446.849700358,381.143127438,"Layer3"
"395",451.39515506,181.638170072,"Layer2"
"396",459.72098793,316.516662566,"Layer3"
"397",474.617478092,397.524766166,"Layer2"
"398",192.16922354,454.77049271,"WM"
"399",355.265538788,186.363642782,"Layer3"
"400",251.260134666,428.262841032,"WM"
"401",228.487856654,147.704775564,"Layer1"
"402",390.684081862,434.653480316,"Layer4"
"403",339.33394508,245.544562912,"Layer5"
"404",259.405949528,158.685874052,"Layer2"
"405",176.597665848,470.837099924,"WM"
"406",213.906398006,449.549970478,"WM"
"407",177.362742382,363.006313132,"Layer6"
"408",447.524767888,284.068416624,"Layer3"
"409",338.118823526,418.09182358,"Layer6"
"410",341.539165678,369.576970424,"Layer6"
"411",195.859592704,373.942407118,"WM"
"412",366.831695802,305.085519058,"Layer5"
"413",366.56166879,337.398751494,"Layer5"
"414",386.498663176,154.230428354,"Layer3"
"415",342.0342152,304.90550105,"Layer6"
"416",412.46626083,418.631877604,"Layer3"
"417",381.86319947,364.491461698,"Layer5"
"418",374.257438632,132.583262892,"Layer3"
"419",216.831690636,476.552671678,"WM"
"420",342.799291734,197.029709756,"Layer4"
"421",152.34023927,395.184532062,"WM"
"422",367.056718312,272.72728212,"Layer5"
"423",246.309639446,255.670575862,"Layer5"
"424",237.668775062,163.951400786,"Layer2"
"425",295.67957814,288.388848816,"Layer6"
"426",323.672378384,272.412250606,"Layer6"
"427",222.052212868,180.018008,"Layer2"
"428",309.225933242,126.68767313,"Layer1"
"429",420.477062186,170.657071584,"Layer3"
"430",365.976610264,423.672381828,"Layer5"
"431",225.112519004,185.41854824,"Layer3"
"432",404.005414454,305.35554607,"Layer5"
"433",225.652573028,109.945998386,"Layer1"
"434",286.183628218,315.25653651,"Layer6"
"435",403.600373936,359.270939466,"Layer5"
"436",375.517564688,386.003613654,"Layer5"
"437",387.533766722,440.009016054,"Layer4"
"438",357.875799904,256.480656898,"Layer5"
"439",347.974809464,337.263737988,"Layer6"
"440",299.864996826,132.043208868,"Layer1"
"441",277.22773232,266.65167435,"Layer5"
"442",155.760581422,346.669678906,"Layer5"
"443",459.135929404,391.98921242,"Layer3"
"444",453.735389164,284.113421126,"Layer3"
"445",317.551766112,261.566165624,"Layer6"
"446",159.09091457,319.75698671,"Layer5"
"447",164.401445806,438.388853982,"WM"
"448",480.828099368,397.569770668,"Layer2"
"449",152.025207756,438.298844978,"WM"
"450",351.665178628,256.435652396,"Layer5"
"451",397.704784174,316.066617546,"Layer5"
"452",167.86679246,389.919005328,"WM"
"453",261.206129608,336.678679462,"Layer6"
"454",365.706583252,456.030618766,"Layer5"
"455",211.386145894,368.631875882,"WM"
"456",159.135919072,308.95590623,"Layer5"
"457",460.711086974,176.327638836,"Layer1"
"458",428.937908562,283.933403118,"Layer3"
"459",197.11971876,201.39514645,"Layer3"
"460",271.872196582,148.019807078,"Layer2"
"461",152.430248274,384.383451582,"Layer6"
"462",212.42124944,228.442852152,"Layer3"
"463",326.012612488,374.88750166,"Layer6"
"464",299.009911288,250.67507614,"Layer5"
"465",468.49686582,386.678681184,"Layer3"
"466",177.587764892,330.648076194,"Layer5"
"467",425.202534896,375.607573692,"Layer3"
"468",226.687676574,395.724586086,"WM"
"469",371.2871415,116.381642172,"Layer2"
"470",442.259241154,154.635468872,"Layer2"
"471",267.956804908,261.206129608,"Layer5"
"472",263.50135921,449.910006494,"WM"
"473",229.207928686,476.642680682,"WM"
"474",398.199833696,251.35014367,"Layer5"
"475",229.612969204,422.682282784,"WM"
"476",180.738080032,325.292540456,"Layer5"
"477",184.248431188,266.021611322,"Layer4"
"478",471.332149446,424.437458362,"Layer2"
"479",324.212432408,196.89469625,"Layer4"
"480",212.331240436,239.243932632,"Layer3"
"481",437.488763942,386.453658674,"Layer3"
"482",284.42845264,126.507655122,"Layer1"
"483",453.105326136,370.38705146,"Layer3"
"484",429.973012108,143.744379388,"Layer2"
"485",261.611170126,282.718281564,"Layer5"
"486",242.709279286,325.742585476,"Layer6"
"487",234.383446416,190.864092982,"Layer3"
"488",378.802893334,359.090921458,"Layer5"
"489",347.119723926,455.89560526,"Layer5"
"490",426.282642944,224.617469482,"Layer3"
"491",357.7857909,267.236732876,"Layer6"
"492",296.12962316,223.67237494,"Layer5"
"493",429.657980594,186.903696806,"Layer3"
"494",453.64538016,294.914501606,"Layer3"
"495",198.604867326,422.502264776,"WM"
"496",147.749780066,168.676873496,"Layer1"
"497",292.439253996,304.545465034,"Layer6"
"498",164.71647732,395.274541066,"WM"
"499",347.299741934,434.338448802,"Layer5"
"500",413.096323858,332.35824727,"Layer4"
"501",186.31863828,411.611175292,"WM"
"502",204.410448084,476.462662674,"WM"
"503",326.867698026,256.255634388,"Layer6"
"504",187.173723818,292.97930802,"Layer5"
"505",375.427555684,396.804694134,"Layer5"
"506",233.753383388,277.137723316,"Layer5"
"507",334.743485876,455.805596256,"Layer6"
"508",304.050415512,412.46626083,"Layer6"
"509",418.901904616,386.318645168,"Layer3"
"510",183.303336646,395.409554572,"WM"
"511",286.768686744,228.982906176,"Layer5"
"512",303.735383998,455.580573746,"Layer6"
"513",399.86500027,450.900105538,"Layer3"
"514",376.597672736,235.058513946,"Layer5"
"515",205.44555163,336.273638944,"Layer6"
"516",204.590466092,454.860501714,"WM"
"517",275.967606264,439.198935018,"Layer6"
"518",327.362747548,191.539160512,"Layer3"
"519",213.7713845,471.107126936,"WM"
"520",445.004515776,203.19532653,"Layer3"
"521",192.754282066,379.297942856,"WM"
"522",167.956801464,379.117924848,"Layer6"
"523",172.187224652,222.7722849,"Layer3"
"524",239.19892813,385.01351461,"WM"
"525",308.685879218,202.205227486,"Layer4"
"526",295.949605152,245.229531398,"Layer5"
"527",192.034210034,476.37265367,"WM"
"528",458.685884384,456.705686296,"Layer3"
"529",294.734483598,417.776792066,"Layer6"
"530",410.66608075,240.684076696,"Layer4"
"531",423.672381828,154.500455366,"Layer3"
"532",316.201631052,444.914506772,"Layer6"
"533",161.746180188,379.072920346,"Layer6"
"534",240.639072194,180.153021506,"Layer3"
"535",328.442855596,466.561672234,"Layer6"
"536",405.400554016,111.206124442,"Layer2"
"537",203.87039406,125.922596596,"Layer1"
"538",237.84879307,142.349239826,"Layer1"
"539",344.779489822,353.420354206,"Layer6"
"540",411.521166288,122.052209424,"Layer3"
"541",226.37264506,438.838899002,"WM"
"542",390.504063854,456.210636774,"Layer3"
"543",432.49326422,224.662473984,"Layer3"
"544",355.175529784,197.11971876,"Layer4"
"545",462.061222034,418.99191362,"Layer3"
"546",390.999113376,391.494162898,"Layer5"
"547",360.531065522,315.796590534,"Layer6"
"548",398.51486521,208.235830754,"Layer4"
"549",456.57067279,321.872198304,"Layer3"
"550",264.356444748,331.278139222,"Layer6"
"551",386.048618156,218.94690223,"Layer5"
"552",211.161123384,400.99011282,"WM"
"553",271.962205586,137.218726598,"Layer1"
"554",362.016214088,110.891092928,"Layer2"
"555",196.174624218,330.7830897,"Layer6"
"556",166.606666404,136.453650064,"Layer1"
"557",325.562567468,439.558971034,"Layer6"
"558",388.253838754,342.979309742,"Layer5"
"559",243.654373828,196.309637724,"Layer3"
"560",264.266435744,342.079219702,"WM"
"561",429.477962586,208.460853264,"Layer3"
"562",428.172832028,391.76418991,"Layer3"
"563",325.877598982,396.444658118,"Layer6"
"564",422.187233262,359.405952972,"Layer4"
"565",174.212427242,368.36184887,"Layer6"
"566",247.344742992,115.481552132,"Layer1"
"567",480.64808136,419.126927126,"Layer2"
"568",391.98921242,251.305139168,"Layer5"
"569",276.057615268,428.44285904,"WM"
"570",431.36815167,375.652578194,"Layer3"
"571",243.159324306,261.0261116,"Layer5"
"572",296.35464567,191.314138002,"Layer3"
"573",202.205227486,352.38525066,"Layer6"
"574",396.804694134,445.499565298,"Layer3"
"575",176.86769286,427.722787008,"WM"
"576",472.952311518,197.974804298,"Layer2"
"577",218.451852708,250.090017614,"Layer4"
"578",254.72548132,379.747987876,"WM"
"579",181.36814306,239.018910122,"Layer3"
"580",401.800193856,181.278134056,"Layer3"
"581",268.90189945,131.818186358,"Layer1"
"582",465.976613708,305.760586588,"Layer3"
"583",288.613871326,406.975711586,"Layer6"
"584",475.562572634,268.091818414,"Layer2"
"585",355.490561298,154.005405844,"Layer3"
"586",186.7686833,346.894701416,"Layer6"
"587",265.30153929,201.890195972,"Layer3"
"588",326.552666512,299.369947304,"Layer6"
"589",247.794788012,476.777694188,"WM"
"590",425.652579916,310.891099816,"Layer3"
"591",226.237631554,460.441059962,"WM"
"592",410.261040232,294.599470092,"Layer5"
"593",159.450950586,265.841593314,"Layer3"
"594",398.019815688,272.95230463,"Layer5"
"595",320.43205424,288.568866824,"Layer6"
"596",253.060314746,180.24303051,"Layer3"
"597",361.566169068,175.607566804,"Layer3"
"598",232.493257332,449.684983984,"WM"
"599",221.19712733,298.60487077,"Layer5"
"600",462.916307572,300.360046348,"Layer3"
"601",186.678674296,357.695781896,"Layer6"
"602",210.081015336,125.967601098,"Layer1"
"603",447.7947949,251.710179686,"Layer3"
"604",297.569767224,455.535569244,"Layer6"
"605",177.7677829,309.090919736,"Layer5"
"606",481.188135384,343.654377272,"Layer2"
"607",148.73987911,465.256541676,"WM"
"608",354.950507274,229.477955698,"Layer5"
"609",332.538265278,331.773188744,"Layer6"
"610",408.325846646,138.208825642,"Layer3"
"611",311.836194358,196.804687246,"Layer4"
"612",151.710176242,481.458162396,"WM"
"613",463.141330082,268.00180941,"Layer3"
"614",460.801095978,165.526558356,"Layer1"
"615",159.225928076,298.15482575,"Layer5"
"616",370.342046958,245.769585422,"Layer5"
"617",398.96491023,143.519356878,"Layer3"
"618",397.029716644,413.14132836,"Layer4"
"619",315.886599538,488.028819688,"Layer6"
"620",349.549967034,121.602164404,"Layer3"
"621",442.439259162,133.078312414,"Layer1"
"622",429.56797159,197.659772784,"Layer3"
"623",284.023412122,180.46805302,"Layer3"
"624",227.812789124,244.734481876,"Layer4"
"625",272.772286622,455.355551236,"Layer6"
"626",200.72007892,131.323136836,"Layer1"
"627",204.815488602,422.502264776,"WM"
"628",285.373547182,423.087323302,"Layer6"
"629",232.358243826,471.242140442,"WM"
"630",270.567066024,331.323143724,"Layer6"
"631",403.510364932,370.027015444,"Layer5"
"632",431.14312916,407.96581063,"Layer3"
"633",219.216929242,142.21422632,"Layer1"
"634",212.64627195,196.129619716,"Layer3"
"635",188.34384087,131.233127832,"Layer1"
"636",434.74348932,337.893801016,"Layer3"
"637",414.0414184,202.97030402,"Layer3"
"638",403.91540545,316.111622048,"Layer5"
"639",246.39964845,244.869495382,"Layer5"
"640",195.949601708,363.141326638,"Layer6"
"641",472.007216976,327.40775205,"Layer3"
"642",374.977510664,461.52116801,"Layer4"
"643",406.300644056,418.586873102,"Layer3"
"644",214.401447528,384.833496602,"WM"
